,,,,,,,,,,,,,,,,,
,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected
Kashmir conflict in Pakistan,Conflict,PAK004,Pakistan,PAK,4.179,x,x,x,x,x,1.0000000000000002,x,x,x,x,x,x
Floods in Pakistan ,Other seasonal event,PAK005,Pakistan,PAK,0,12.4,20.57,0.03,0,5,0,0.37575757575757573,0.6233333333333333,0.0009090909090909091,0,3,4
Venezuela displacement in Panama,Displacement,PAN002,Panama,PAN,0,0.023,0.036,0,0,0.9,0,0.39655172413793105,0.6206896551724138,0,0,3,1.95
Venezuela displacement in Peru,Displacement,PER002,Peru,PER,19.732,13.56,1.06,0,0,3.4,0.574389427415364,0.3947253514976858,0.030856111547754198,0,0,2,2.7
Multiple crises in the Philippines,"Conflict,Cyclone,Violence,Floods,Other seasonal event",PHL001,Philippines,PHL,83.631,7.731,0.284,x,x,2.4,0.9125439189926456,0.08435720053248369,0.003098880474870698,x,x,2,2.2
Mindanao conflict,"Conflict,Violence",PHL003,Philippines,PHL,26.144,0,0.108,x,x,1.7,0.9958860277312205,0,0.004113972268779522,x,x,1,1.35
2024 Southwest Monsoon,"Cyclone,Floods",PHL015,Philippines,PHL,57.487,7.731,0.175,0,0,2.1,0.8791002095025462,0.11822366308320463,0.0026761274142492316,0,0,2,2.05
Multiple crises in Papua New Guinea,0,PNG001,Papua New Guinea,PNG,4.391,0.255,0.065,x,x,1.4,0.9320738696667374,0.05412863510931862,0.01379749522394396,x,x,2,1.7
Highlands Violence,Violence,PNG003,Papua New Guinea,PNG,4.302,0.233,0.031,x,x,0.8,0.9421813403416557,0.0510293473499781,0.006789312308366185,x,x,2,1.4
2024 Monsoon Flooding in Western Province,Floods,PNG005,Papua New Guinea,PNG,0.089,0.022,0.034,x,x,0.9,0.6137931034482759,0.15172413793103448,0.23448275862068965,x,x,3,1.95
Displacement from Russia-Ukraine conflict in Poland,"Displacement,Conflict",POL002,Poland,POL,36.822,0,0.97,0,0,3.3,0.9743331922099915,0,0.025666807790008468,0,0,1,2.15
Complex crisis in DPRK,"Socio-political,Floods,Other seasonal event,Food Security",PRK001,DPRK,PRK,0,15.254,4.97,5.459,0,5,0,0.5828366192877885,0.18989760048907228,0.20858169035610577,0,4,4.5
Conflict in Palestine,"Conflict,Socio-political,Violence",PSE002,Palestine,PSE,0.748,1.496,1.875,0.879,0.546,4.2,0.1349206349206349,0.2698412698412698,0.33820346320346323,0.15854978354978355,0.09848484848484848,5,4.6
Conflict in West Bank,"Conflict,Displacement,Socio-political,Violence",PSE003,Palestine,PSE,0.748,1.496,0.84,0.12,0.04,3.3,0.23057953144266338,0.46115906288532676,0.2589395807644883,0.036991368680641186,0.012330456226880395,3,3.15
Conflict in Gaza,"Conflict,Displacement,Socio-political,Violence",PSE004,Palestine,PSE,0,0,1.035,0.759,0.506,3.9,0,0,0.44999999999999996,0.33,0.22,5,4.45
Lake Chad basin regional crisis,0,REG001,"Nigeria,Niger,Chad,Cameroon","NGA,NER,TCD,CMR",10.439,0,5.819,4.406,0.874,5,0.4846782431052094,0,0.27017364657814097,0.20456866932862847,0.04057944098802117,4,4.5
Venezuela Regional Crisis,0,REG002,"Venezuela,Brazil,Colombia,Ecuador,Peru,Trinidad and Tobago,Chile,Dominican Republic,Panama","VEN,BRA,COL,ECU,PER,TTO,CHL,DOM,PAN",149.809,37.651,26.943,0,0,5,0.6987294894637177,0.17560936931558474,0.12566580535629332,0,0,3,4
Syrian Regional Crisis,0,REG004,"Syria,Türkiye,Iraq,Egypt,Jordan,Lebanon","SYR,TUR,IRQ,EGY,JOR,LBN",162.023,17.456,13.401,8.677,0.067,5,0.8035898504146332,0.08657699480220608,0.06646530174979169,0.04303555132325517,0.0003323017101138753,3,4
Eastern Mediterranean Route ,0,REG006,"Türkiye,Greece","TUR,GRC",15.532,0.434,0.362,0.051,0.006,2.7,0.9478823385817161,0.02648602465519346,0.02209202978152081,0.0031124130355181254,0.00036616623947272064,2,2.35
Central Mediterranean Route,0,REG007,"Algeria,Tunisia,Libya,Italy","DZA,TUN,LBY,ITA",124.556,0,1.378,x,x,3.6,0.9890577604141852,0,0.010942239585814792,x,x,1,2.3
Western Mediterranean Route,0,REG008,"Algeria,Morocco,Spain","DZA,MAR,ESP",132.628,0,0.378,x,x,2.6,0.9971580229463332,0,0.002841977053666752,x,x,1,1.8
Rohingya Regional Crisis,0,REG011,"Bangladesh,Myanmar","BGD,MMR",0,1.794,1.752,1.464,x,4.2,0,0.35808383233532937,0.34970059880239523,0.29221556886227545,x,4,4.1
