,,,,,,,,,,,,,,,,,
,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected
Kachin and Shan Conflict,Conflict,MMR003,Myanmar,MMR,0,3.4,1.165,0.308,0,3.6,0,0.697722142417402,0.2390724399753745,0.06320541760722348,0,4,3.8
Post-coup conflict in Myanmar,"Violence,Socio-political,Conflict",MMR004,Myanmar,MMR,9.445,32.138,11.25,3.127,0,5,0.16878127233738385,0.5743030736240171,0.20103645461043604,0.055879199428162975,0,4,4.5
2024 Dzud,Other seasonal event,MNG004,Mongolia,MNG,0.348,0.345,0.123,0.077,x,2.2,0.3896976483762598,0.38633818589025753,0.13773796192609183,0.08622620380739082,x,4,3.1
Multiple Crises in Mozambique,"Conflict,Displacement,Cyclone",MOZ001,Mozambique,MOZ,21.774,10.66,2.154,x,x,3.9,0.6295246906441541,0.30819937550595583,0.062275933849890136,x,x,3,3.45
Cabo Delgado Islamist Insurgency,"Conflict,Displacement",MOZ004,Mozambique,MOZ,0,9.984,1.6,x,x,3.7,0,0.861878453038674,0.13812154696132597,x,x,3,3.35
Tropical Cyclone Freddy in Mozambique,Cyclone,MOZ010,Mozambique,MOZ,16.794,0.677,0.554,x,x,2.9,0.9317059639389736,0.03755894590846047,0.03073509015256588,x,x,2,2.45
Refugees from Mali in Mauritania,Displacement,MRT002,Mauritania,MRT,5.036,0,0.107,x,x,1.7,0.9791950223604899,0,0.020804977639510013,x,x,1,1.35
Food Security in Mauritania,"Drought,Floods",MRT003,Mauritania,MRT,2.248,0.823,0.444,0.028,0,2.8,0.6344905447360993,0.2322890206040079,0.12531752751905165,0.007902907140841095,0,3,2.9
Complex crisis in Malawi,"Drought,Socio-political,Cyclone",MWI002,Malawi,MWI,9.123,6.167,4.136,0.266,0,4.4,0.46328458257160265,0.31317286207596995,0.21003453178955922,0.01350802356286817,0,3,3.7
Tropical Cyclone Freddy in Malawi,Cyclone,MWI005,Malawi,MWI,5.451,0.663,1.637,0,0,3.7,0.7032640949554896,0.08553735001935234,0.21119855502515805,0,0,3,3.35
International Refugees in Malaysia,Displacement,MYS001,Malaysia,MYS,0,9.903,0.187,0,0,2.1,0,0.9814667988107036,0.018533201189296335,0,0,2,2.05
Food Security Crisis in Namibia,Drought,NAM002,Namibia,NAM,1.004,0.943,0.63,0.065,0,3.1,0.38001514004542014,0.35692657077971235,0.2384557153671461,0.024602573807721424,0,3,3.05
Multiple crises in Niger,"Conflict,Displacement",NER001,Niger,NER,9.399,0,1.756,1.385,0,4.2,0.7495215311004785,0,0.14003189792663476,0.11044657097288677,0,4,4.1
Lake Chad basin crisis in Niger,Conflict,NER002,Niger,NER,0.22,0,0.057,0.512,0,2.9,0.27918781725888325,0,0.07233502538071065,0.649746192893401,0,4,3.45
Mali/Burkina Faso conflict,Conflict,NER003,Niger,NER,5.801,0,0.876,0.873,0,3.7,0.7683443708609271,0,0.11602649006622516,0.11562913907284768,0,4,3.85
Nigerian Refugees,Displacement,NER004,Niger,NER,3.379,0,0.823,0,0,3.2,0.8041408852927178,0,0.19585911470728223,0,0,3,3.1
Complex crisis in Nigeria,"Conflict,Displacement,Violence",NGA001,Nigeria,NGA,104.75,63.958,23.706,1.108,0,5,0.5412793311389343,0.3304930163339758,0.12249706753202462,0.005725417650615172,0,3,4
Middle belt conflict,Violence,NGA003,Nigeria,NGA,9.555,5.977,2.468,0,0,4,0.5308333333333334,0.33205555555555555,0.1371111111111111,0,0,3,3.5
Lake Chad basin crisis in Nigeria,"Conflict,Displacement",NGA004,Nigeria,NGA,2,5.8,5.9,2.2,0.2,4.9,0.12422360248447205,0.36024844720496896,0.36645962732919257,0.13664596273291926,0.012422360248447204,4,4.45
Northwest Banditry,"Violence,Displacement",NGA007,Nigeria,NGA,19.508,15.815,6.994,0.431,0,4.8,0.45634883503321794,0.3699588284832039,0.16360999344998597,0.010082343033592215,0,3,3.9
Cameroonian Refugees in Nigeria,Displacement,NGA008,Nigeria,NGA,12.588,0,0.087,x,x,1.6,0.9931360946745562,0,0.006863905325443787,x,x,1,1.3
Socioeconomic crisis in Nicaragua,Socio-political,NIC001,Nicaragua,NIC,6.948,0.25,x,x,x,x,0.9652681300361211,0.03473186996387886,x,x,x,x,x
Karnali Earthquake,Earthquake,NPL003,Nepal,NPL,10.338,1.384,0.25,0,0,2.3,0.8635148680253926,0.11560307383895757,0.02088205813564985,0,0,2,2.15
Complex crisis in Pakistan,"Displacement,Conflict",PAK001,Pakistan,PAK,145.218,73.815,18.503,2.097,0,5,0.6060016775652769,0.30803353461334626,0.07721390626499688,0.008750881556379965,0,3,4
Kashmir conflict in Pakistan,Conflict,PAK004,Pakistan,PAK,4.179,x,x,x,x,x,1.0000000000000002,x,x,x,x,x,x
Floods in Pakistan ,Other seasonal event,PAK005,Pakistan,PAK,0,12.4,20.57,0.03,0,5,0,0.37575757575757573,0.6233333333333333,0.0009090909090909091,0,3,4
Venezuela displacement in Panama,Displacement,PAN002,Panama,PAN,0,0.023,0.036,0,0,0.9,0,0.39655172413793105,0.6206896551724138,0,0,3,1.95
Venezuela displacement in Peru,Displacement,PER002,Peru,PER,19.429,13.611,1.01,0,x,3.3,0.5706020558002937,0.39973568281938326,0.029662261380323053,0,x,2,2.65
Mindanao conflict,"Conflict,Violence",PHL003,Philippines,PHL,26.108,0,0.145,x,x,1.9,0.9945147036416273,0,0.005523388694194728,x,x,1,1.45
Highlands Violence,Earthquake,PNG003,Papua New Guinea,PNG,4.302,0.233,0.031,x,x,0.8,0.9421813403416557,0.0510293473499781,0.006789312308366185,x,x,2,1.4
Displacement from Russia-Ukraine conflict in Poland,"Displacement,Conflict",POL002,Poland,POL,36.822,0,0.957,0,0,3.3,0.9746942665043147,0,0.02533220392821219,0,0,1,2.15
