,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the  ,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
Mixed Migration in Mexico,International displacement,MEX003,Mexico,MEX,5,0.7393739550914376,3.7,4.35,5,0.6196153206972859,3.1,4.05,4.2,1.6,0.0038819875776397515,0,0.8,3.5,1,5,4.3,3.4,0.0008472727272727273,5,4.2,4.3,3
Hurricane Eta and Iota in Southern Mexico,Tropical cyclone,MEX004,Mexico,MEX,3.7,0.08759690321253119,0.3,2,3.9,0.1283838746074924,0.6,2.25,2.1,1.2,0.011513830222101104,0,0.6,1.8,0.10059171597633136,3.4,2.6,2,0.00015976331360946746,5,3.5,3.1,2
Complex crisis in Mali,Complex crisis,MLI001,Mali,MLI,5,1,5,5,4.3,1,5,4.65,4.8,4,0.4140995859004141,2,3,3.8,0.05573170731707317,1.9,2.9,4.3,0.00012512195121951218,5,4.7,4,3.5
Multiple crises in Myanmar,Multiple crises country,MMR001,Myanmar,MMR,4.1,0.44359037177681143,2.2,3.15,3.4,0.19890549358029888,1,2.2,2.7,3.7,0.49292929292929294,2.4,3.05,4.5,0.2822014051522248,5,4.8,3.4,4.605776736924278e-05,2.3,2.9,4,3.6
Rakhine Conflict,Conflict,MMR002,Myanmar,MMR,2.8,0.06868530654743676,0.2,1.5,2,0.0742810126097855,0.3,1.15,1.3,2.8,0.4026275115919629,2,2.4,4.5,0.8573256557901472,5,4.8,3.2,0.00011772232885476648,5,4.1,4.5,3.7
Kachin and Shan Conflict,Conflict,MMR003,Myanmar,MMR,4,0.3749052183499724,1.8,2.9,2.7,0.12462448097051339,0.6,1.6500000000000001,2.3,3.4,0.546599109473361,2.7,3.05,2.9,0.029775280898876405,1,2,2.5,1.4606741573033707e-05,0.7,1.6,1.8,2.5
Complex crisis in Mozambique,Complex crisis,MOZ001,Mozambique,MOZ,4.2,0.4382130776469391,2.1,3.1500000000000004,4.3,0.6944078719423463,3.5,3.9,3.6,4.3,0.6295279912184413,3.1,3.7,4,0.0495363398589205,1.7,2.9,4.4,0.00010279781247523183,5,4.7,4,3.9
Cabo Delgado Islamist Insurgency,Other type of violence,MOZ004,Mozambique,MOZ,3.2,0.10017803097739006,0.4,1.8,0.9,0.06579585614302542,0.3,0.6,1.2,2.7,0.6824644549763034,3.4,3.05,0,0.0007716049382716049,0,0,4.4,0.0009737654320987654,5,4.7,3.1,3.1
Food Security Crisis in Mozambique,Food Security,MOZ006,Mozambique,MOZ,4.2,0.4382130776469391,2.1,3.1500000000000004,4.2,0.6286120157993209,3.1,3.6500000000000004,3.4,4.3,0.6239872126991126,3.1,3.7,2.8,0.008303153431675647,0.3,1.6,x,x,x,x,1.6,2.8
Refugees from Mali in Mauritania,International displacement,MRT002,Mauritania,MRT,0,7.276608130396817e-05,0,0,0,0.017370325693606754,0,0,0,0.5,0.8472222222222222,4.2,2.35,2.6,1,5,3.8,x,x,x,x,3.8,3.2
Food Security in Mauritania,Drought,MRT003,Mauritania,MRT,5,1,5,5,2.1,1,5,3.55,4.4,2.8,0.36501809408926417,1.8,2.3,x,x,x,x,x,x,x,x,x,2.3
Complex crisis in Malawi,Complex crisis,MWI002,Malawi,MWI,3.3,0.9999575731862537,5,4.15,4.2,0.8965412313622071,4.5,4.35,4.3,4.1,0.5039031564656635,2.5,3.3,0,0,0,0,2.3,4.602604400538841e-06,0.2,1.3,0.7,2.2
Food Security Crisis in Namibia,Food Security,NAM002,Namibia,NAM,0,0.000999647754740128,0,0,1.2,0.8878394332939787,4.4,2.8000000000000003,1.6,2.6,0.48359929078014185,2.4,2.5,0,0,0,0,x,x,x,x,0,1.4
Multiple crises in Niger,Multiple crises country,NER001,Niger,NER,5,1.0002368358727403,5,5,4.6,1,5,4.8,4.9,3.5,0.16310924369747898,0.8,2.15,4,0.1519835136527563,5,4.5,3.6,8.397733127253993e-05,4.2,3.9,4.2,3.4
Boko Haram in Niger,Conflict,NER002,Niger,NER,3.7,0.12386989816057473,0.5,2.1,0,0.03987394957983193,0.2,0.1,1.2,1.6,0.3087460484720759,1.5,1.55,3.5,0.9078498293515358,5,4.3,3,0.00041638225255972696,5,4,4.2,3.1
Mali/Burkina Faso conflict,Conflict,NER003,Niger,NER,3.9,0.1662587826636141,0.7,2.3,3.1,0.35294117647058826,1.7,2.4,2.4,2.7,0.16142857142857142,0.8,1.75,3.3,0.15855457227138642,5,4.2,3,9.070796460176992e-05,4.5,3.8,4,3.1
Nigerian Refugees,International displacement,NER004,Niger,NER,1.6,0.006801926265098287,0,0.8,0.4,0.05579831932773109,0.2,0.30000000000000004,0.6,2.2,0.5301204819277109,2.6,2.4000000000000004,2.8,0.12357954545454546,4.1,3.5,1.1,8.522727272727273e-06,0.4,0.8,2.4,2.4
Floods in Niger,Flood,NER005,Niger,NER,5,1.0002368358727403,5,5,4.6,1,5,4.8,4.9,2,0.021680672268907564,0.1,1.05,x,x,x,x,2.6,0.00013372093023255815,5,3.8,3.8,2.7
Complex crisis in Nigeria,Complex crisis,NGA001,Nigeria,NGA,4.9,0.999033784599844,5,4.95,5,0.3534613164546884,1.7,3.35,4.3,4,0.11159601875184773,0.5,2.25,5,0.5864765989655607,5,5,5,0.0005623817333165132,5,5,5,4
Middle belt conflict,Conflict,NGA003,Nigeria,NGA,3.8,0.19946199369764045,0.9,2.35,3.9,0.07513783563225254,0.3,2.1,2.2,1.8,0.026291390728476822,0.1,0.9500000000000001,3.7,1,5,4.4,3.7,0.0009798488664987406,5,4.4,4.4,3.1
Boko Haram crisis in Nigeria,Conflict,NGA004,Nigeria,NGA,3.7,0.17338954950206967,0.8,2.25,3,0.039310523277801,0.1,1.55,1.9,3.9,0.9050632911392406,4.5,4.2,5,0.5415384615384615,5,5,4.7,0.0002941258741258741,5,4.9,5,4.6
Northwest Banditry,Other type of violence,NGA007,Nigeria,NGA,4,0.26099673902302445,1.2,2.6,4.9,0.15115145001094724,0.7,2.8000000000000003,2.7,1.7,0.010435870424018962,0,0.85,3.6,1,5,4.3,4.7,0.006201892744479495,5,4.9,4.6,3.3
Cameroonian Refugees in Nigeria,International displacement,NGA008,Nigeria,NGA,3.4,0.12711112575073838,0.5,1.95,4.2,0.08786150753368763,0.4,2.3000000000000003,2.1,0.5,0.003511355269864643,0,0.25,2.6,1,5,3.8,x,x,x,x,3.8,2.4
Socioeconomic crisis in Nicaragua,Political and economic crisis,NIC001,Nicaragua,NIC,3.5,0.9999961774970915,5,4.25,2.7,1,5,3.85,4.1,1.9,0.06471135940409684,0.3,1.0999999999999999,2.9,0.2446043165467626,5,4,0.7,7.1942446043165465e-06,0.4,0.6,2.7,2
Hurricane Eta and Iota in Nicaragua,Tropical cyclone,NIC002,Nicaragua,NIC,3.3,0.7703423633039721,3.8,3.55,1.4,0.4129422718808194,2,1.7,2.7,2.9,0.6764374295377678,3.4,3.15,2.7,0.04055555555555555,1.4,2.1,1.9,1.2777777777777777e-05,0.6,1.3,1.7,2.5
Complex crisis in Pakistan,Complex crisis,PAK001,Pakistan,PAK,4.8,1,5,4.9,5,1,5,5,5,5,0.3070650877410613,1.5,3.25,3.3,0.003169719852701254,0.1,1.7,4.1,1.1389238490343231e-05,0.6,2.4,2.1,2.7
