,,,,,,,,,,,,,,,,,
,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected
Complex crisis in Honduras,Complex crisis,HND001,Honduras,HND,5.4,1.2,2.8,0,0,4.1,0.574468085106383,0.1276595744680851,0.2978723404255319,0,0,3,3.55
Complex crisis in Haiti,Complex crisis,HTI001,Haiti,HTI,3.2,3.8,1.9,1.5,1,4.4,0.2807017543859649,0.3333333333333333,0.16666666666666666,0.13157894736842105,0.08771929824561403,5,4.7
Nippes Earthquake ,Earthquake,HTI002,Haiti,HTI,5.629,0.15,0.65,0,0,3,0.8755638512988023,0.02333177788147457,0.10110437081972314,0,0,3,3
Displacement from Ukraine conflict in Hungary,International displacement,HUN002,Hungary,HUN,0.116,0.404,0,0,0,0,0.2230769230769231,0.7769230769230769,0,0,0,2,1
Papua Conflict,Conflict,IDN002,Indonesia,IDN,0,5.338,0.1,0,0,1.7,0,0.9816108863552777,0.018389113644722323,0,0,2,1.85
Conflict in Jammu and Kashmir,Conflict,IND002,India,IND,12.541,x,x,x,x,x,1,x,x,x,x,x,x
Afghan Refugees in Iran,International displacement,IRN004,Iran,IRN,21.943,0,0.78,2.1,0,4.1,0.8839785682633042,0,0.03142247109535511,0.08459896064134069,0,4,4.05
Multiple crises in Iraq,Multiple crises country,IRQ001,Iraq,IRQ,34.986,2.829,2.233,0.381,0.146,4.1,0.8622338328075709,0.06972101735015773,0.05503253154574132,0.009389787066246057,0.003598186119873817,3,3.55
Conflict  in Iraq,Conflict,IRQ002,Iraq,IRQ,35.276,2.8,2.15,0.225,0.125,4,0.8693809148264984,0.06900630914826499,0.05298698738170347,0.005545149842271294,0.0030806388012618296,3,3.5
Syrian and Palestinian refugees in iraq,International displacement,IRQ003,Iraq,IRQ,4.632,0.029,0.315,0.156,0.021,2.8,0.8994174757281553,0.005631067961165049,0.06116504854368932,0.030291262135922332,0.004077669902912621,3,2.9
Mixed migration flows in Italy,International displacement,ITA002,Italy,ITA,6.804,0,0.208,0,0,2.2,0.9703365658870508,0,0.02966343411294923,0,0,1,1.6
Syrian refugees in Jordan,International displacement,JOR002,Jordan,JOR,6.869,1.062,0.622,0.155,0,3.2,0.7888148828663298,0.1219568213137345,0.07142857142857142,0.017799724391364263,0,3,3.1
