,,,,,,,,,,,,,,,,,,,,,
CRISIS,Website name,CRISIS ID,COUNTRY,ISO3,TYPE OF CRISIS,INFORM Severity Index,INFORM Severity category,INFORM Severity category,Trend (last 3 months),Reliability,Impact of the crisis,Geographical Impact,Human Impact,Conditions of people affected,People in need,Concentration of conditions,Complexity of the crisis,Society and safety,Operating environment,Regions,Last updated
Weights,,,,,,,,,,,,,,,,,0.3,,,,
(a-z),,,,(a-z),,(1-5),(1-5),(Very Low-Very High),(Decreasing-Stable-Increasing),(Very Low-Very High),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),,
Rohingya Regional Crisis,Rohingya Regional Crisis,REG011,"Bangladesh,Myanmar","BGD,MMR",Regional crisis,3.9,4,High,Decreasing,Very High,3,1.4,3.6,4.05,4.1,4,4.3,4,4.5,"Asia,Asia",2022-01-24 00:00:00
Southern Africa Regional Food Security Crisis,Southern Africa Regional Food Security Crisis,REG012,"Lesotho,Madagascar,Malawi,Namibia,Eswatini,Zambia,Zimbabwe","LSO,MDG,MWI,NAM,SWZ,ZMB,ZWE",Regional crisis,3.6,4,High,Stable,Very High,3.7,4.6,3,4,5,3,2.9,2.7,3,"Africa,Africa,Africa,Africa,Africa,Africa,Africa",2022-01-30 00:00:00
Nagorno-Karabakh Conflict,Regional Nagorno-Karabakh Conflict,REG013,"Armenia,Azerbaijan","ARM,AZE",Regional crisis,x,x,x,-,Very Low,2.7,2.6,2.7,x,x,x,3,3.4,2.5,"Middle east,Middle east",2021-10-31 00:00:00
Burundi and DRC refugees in Rwanda,Refugees,RWA002,Rwanda,RWA,International displacement,2.2,3,Medium,Stable,Low,2.6,2.1,2.8,1.45,1.9,1,3,4,1.5,Africa,2021-10-29 00:00:00
Complex crisis in Sudan,Complex crisis,SDN001,Sudan,SDN,Multiple crises country,4.4,5,Very High,Decreasing,Very High,4.4,4.8,4.2,4.5,5,4,4.4,4.7,4,Africa,2022-01-30 00:00:00
Refugees in Sudan,Refugees,SDN005,Sudan,SDN,International displacement,3.4,4,High,Stable,Very High,3.4,2.1,3.9,3.2,3.4,3,3.7,4.7,2,Africa,2022-01-30 00:00:00
Refugees from Ethiopia,Refugee influx from Tigray,SDN007,Sudan,SDN,International displacement,2.6,3,Medium,Stable,Very High,3,2.4,3.3,1.7,1.4,2,3.7,4.7,2,Africa,2022-01-30 00:00:00
Violence West-Darfur,West-Darfur Violence,SDN008,Sudan,SDN,Other type of violence,3.7,4,High,Increasing,Very High,3.5,1.1,4.2,3.65,3.3,4,3.8,4.7,2.5,Africa,2022-01-30 00:00:00
Drought in Senegal,Drought,SEN002,Senegal,SEN,Drought,2.4,3,Medium,Stable,Medium,2.7,4.5,1.2,2.4,2.8,2,2.3,2.1,2.5,Africa,2021-10-27 00:00:00
Complex crisis in El Salvador,Complex crisis,SLV001,El Salvador,SLV,Complex crisis,3.2,4,High,Increasing,Very High,3.4,3.8,3.1,3.35,3.7,3,2.8,3,2.5,Americas,2021-11-16 00:00:00
