,,,,,,,,,,,,,,,,,
,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected
Eastern Africa Regional Drought Crisis,Drought,REG014,"Ethiopia,Somalia,Kenya","ETH,SOM,KEN",35.9,34.782,17.784,5.144,1.027,5,0.3793442311146803,0.36753066982258525,0.18791804473937254,0.05435506197364667,0.010851992349715227,4,4.5
Displacement from Ukraine conflict in Romania,"Conflict,Displacement",ROU002,Romania,ROU,5.049,0,0.107,0,0,1.7,0.9792474786656322,0,0.020752521334367727,0,0,1,1.35
Burundi and DRC refugees in Rwanda,Displacement,RWA002,Rwanda,RWA,2.255,0,0.127,0,0,1.8,0.9518784297171803,0,0.05360911777121148,0,0,3,2.4
Complex crisis in Sudan,"Displacement,Violence,Floods",SDN001,Sudan,SDN,20.5,13.5,10.2,5.5,0.1,5,0.41164658634538154,0.2710843373493976,0.20481927710843373,0.11044176706827309,0.002008032128514056,4,4.5
Refugees in Sudan,Displacement,SDN005,Sudan,SDN,0,13.641,1.129,0,0,3.4,0,0.9235612728503724,0.07643872714962763,0,0,3,3.2
Floods in Sudan ,Floods,SDN006,Sudan,SDN,49.451,0.21,0.139,0,0,1.9,0.9929919678714859,0.004216867469879518,0.002791164658634538,0,0,1,1.45
Violence in Darfur and Kordofan regions,Violence,SDN008,Sudan,SDN,0,9.299,3.73,4.11,0,4.8,0,0.5425637435089562,0.21763230060096855,0.2398039558900753,0,4,4.4
Drought in Senegal,Drought,SEN002,Senegal,SEN,12.429,4.971,0.846,0.03,0,3.2,0.6800722258699934,0.2719960604070913,0.04629021667760998,0.0016414970453053185,0,2,2.6
Complex crisis in El Salvador,"Displacement,Violence,Floods,Drought",SLV001,El Salvador,SLV,3.5,1.5,1.7,0,0,3.7,0.5223880597014925,0.22388059701492538,0.2537313432835821,0,0,3,3.35
Complex crisis in Somalia,"Conflict,Displacement,Floods,Drought",SOM001,Somalia,SOM,0,10.003,5.541,1.937,0.322,4.8,0,0.5618715946750548,0.3112396787058361,0.1088018873223614,0.018086839296747738,4,4.4
Mixed Migration Flows in Somalia,Displacement,SOM002,Somalia,SOM,2.66,0,0.035,0,0,0.9,0.9873793615441723,0,0.012991833704528583,0,0,1,0.95
Complex crisis in South Sudan,"Conflict,Floods,Displacement",SSD001,South Sudan,SSD,0,0.255,1.66,10.727,0.128,5,0,0.019957736557877435,0.1299209517101041,0.8395554512013774,0.01001800109571887,4,4.5
2022 seasonal floods in South Sudan,Floods,SSD003,South Sudan,SSD,10.643,0,1,0,0,3.3,0.9141114832946835,0,0.0858885167053165,0,0,3,3.15
Displacement from Ukraine conflict in Slovakia,"Displacement,Conflict",SVK002,Slovakia,SVK,1.571,0,0.106,0,0,1.7,0.9373508353221957,0,0.06324582338902147,0,0,3,2.35
Food Security Crisis in Eswatini,Drought,SWZ001,Eswatini,SWZ,0.477,0.438,0.222,0.037,0,2.4,0.40630323679727426,0.3730834752981261,0.1890971039182283,0.03151618398637138,0,3,2.7
Syrian conflict,"Conflict,Displacement,Violence",SYR001,Syria,SYR,0,3.963,9.6,4.9,0.06,5,0,0.21395022404578093,0.5182745775522324,0.26453598229228525,0.0032392161097014524,4,4.5
Complex crisis in Chad,"Conflict,Displacement",TCD001,Chad,TCD,9.175,1.207,0.715,1.91,3.525,4.6,0.5462284931833066,0.07185806989343335,0.042567125081859856,0.11371078168720605,0.20985890337560278,5,4.8
Boko Haram in Chad,Conflict,TCD003,Chad,TCD,0.277,0,0,0,0.827,3.2,0.2509057971014493,0,0,0,0.7490942028985508,5,4.1
