,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the  ,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human,,,
Complex crisis in Pakistan,Complex crisis,PAK001,Pakistan,PAK,4.8,1.0327158572021586,5,4.9,5,1,5,5,5,5,0.6553836263875559,3.3,4.15,5,0.14961766676567498,5,5,4.1,5.546767609087581e-06,0.3,2.2,4,4.1,,,
Kashmir conflict in Pakistan,Conflict,PAK004,Pakistan,PAK,1.9,0.01724911789124118,0,0.95,2.2,0.020145591510783552,0.1,1.1500000000000001,1.1,x,x,x,x,x,x,x,x,0.4,x,x,0.4,0.4,0.4,,,
Venezuela displacement in Peru,International displacement,PER002,Peru,PER,3.9,0.1602296875,0.7,2.3,0.1,0.031818181818181815,0.1,0.1,1.3,2.3,0.679047619047619,3.4,2.8499999999999996,4.3,1.4726507713884993,5,4.7,x,x,x,x,4.7,4,,,
Mindanao conflict,Conflict,PHL003,Philippines,PHL,3.6,0.46401046382935907,2.3,2.95,4.7,0.24077114268157346,1.2,2.95,3,1,0.0044948956269998475,0,0.5,3,1,5,4,2.7,0.0007033898305084746,5,3.9,4,2.7,,,
Complex crisis in DPRK,Complex crisis,PRK001,DPRK,PRK,3.5,1,5,4.25,4.7,1,5,4.85,4.6,4.8,1,5,4.9,2.2,0.0013247097327203305,0,1.1,0.7,1.1688615288708797e-07,0,0.4,0.8,3.5,,,
Conflict in Palestine,Conflict,PSE002,Palestine,PSE,1.3,1.0008305647840532,5,3.15,2.4,1,5,3.7,3.4,3.6,0.8820993439550141,4.4,4,5,1.3601784955376115,5,5,3.6,7.033574160645983e-05,3.5,3.6,4.4,4.2,,,
Regional Boko Haram Crisis,Regional crisis,REG001,"Nigeria,Niger,Chad,Cameroon","NGA,NER,TCD,CMR",4.3,0.09438888007817096,0.4,2.35,4.3,0.07185617547310208,0.3,2.3,2.3,4.4,0.6860071811416975,3.4,3.9000000000000004,5,0.3912614731093074,5,5,4.7,0.00013904270651596753,5,4.9,5,4.5,,,
Venezuela Regional Crisis,Regional crisis,REG002,"Venezuela,Brazil,Colombia,Ecuador,Peru,Trinidad and Tobago","VEN,BRA,COL,ECU,PER,TTO",5,0.12274879283154846,0.5,2.75,5,0.21593642687849826,1,3,2.9,5,0.48263969672501333,2.4,3.7,5,0.15434129189587706,5,5,x,x,x,x,5,4.5,,,
Regional Kashmir conflict,Regional crisis,REG003,"India,Pakistan","IND,PAK",4,0.06290827895845964,0.2,2.1,4.1,0.010877929793786052,0,2.05,2.1,4.6,1,5,4.8,x,x,x,x,3.2,1.0064151609675711e-05,0.5,1.9,1.9,3.7,,,
Syrian Regional Crisis,Regional crisis,REG004,"Syria,Turkey,Iraq,Egypt,Jordan,Lebanon","SYR,TUR,IRQ,EGY,JOR,LBN",4.5,0.20128080127636944,0.9,2.7,5,0.37539843356492786,1.8,3.4,3.1,5,0.3094925947927976,1.5,3.25,5,0.7558328093457325,5,5,5,0.0001007049012145481,5,5,5,4.3,,,
Eastern Mediterranean Route ,Regional crisis,REG006,"Turkey,Greece","TUR,GRC",3.8,0.2012932233759585,0.9,2.35,5,0.39944556451612906,2,3.5,3,3.8,0.15851735015772872,0.8,2.3,5,0.7014925373134329,5,5,2.7,1.2106135986733002e-05,0.6,1.7,3.9,3.2,,,
Central Mediterranean Route,Regional crisis,REG007,"Algeria,Tunisia,Libya,Italy","DZA,TUN,LBY,ITA",x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,4,x,x,4,4,4,,,
Western Mediterranean Route,Regional crisis,REG008,"Algeria,Morocco,Spain","DZA,MAR,ESP",x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,3.2,x,x,3.2,3.2,3.2,,,
Rohingya Regional Crisis,Regional crisis,REG011,"Bangladesh,Myanmar","BGD,MMR",2.8,0.05810022342802426,0.2,1.5,2.4,0.026764836806639276,0.1,1.25,1.4,3.3,0.5580194991397438,2.8,3.05,4.5,0.46111682082905103,5,4.8,0,0,0,0,3.2,3.1,,,
