,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the  ,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
Post-coup conflict in Myanmar,"Violence,Socio-political,Conflict",MMR004,Myanmar,MMR,4.5,0.750597170331353,3.7,4.1,5,0.8502977898966705,4.2,4.6,4.4,5,0.9767927593409144,4.9,4.95,4.6,0.03682584937039677,1.2,2.9,5,0.00015015443098123068,5,5,4.2,4.6
Cyclone Mocha in Myanmar,"Cyclone,Floods",MMR005,Myanmar,MMR,3.8,0.27462638574140996,1.3,2.55,3.4,0.19092637772675086,0.9,2.15,2.4,2,0.046979235178051304,0.2,1.1,x,x,x,x,3.1,0.00029,5,4.1,4.1,2.9
Multiple Crises in Mozambique,"Conflict,Displacement,Cyclone",MOZ001,Mozambique,MOZ,4.8,1,5,4.9,5,0.990804395087843,5,5,5,4.3,0.38001482579688656,1.9,3.0999999999999996,4.3,0.07716916354556803,2.6,3.5,3.6,2.7387640449438204e-05,1.4,2.5,3,3.1
Cabo Delgado Islamist Insurgency,"Conflict,Displacement",MOZ004,Mozambique,MOZ,4.1,0.3568440194308095,1.7,2.9,3.5,0.3403255185381045,1.7,2.6,2.8,4.3,1,5,4.65,4.2,0.08045580110497237,2.7,3.5,3.1,1.363950276243094e-05,0.7,1.9,2.8,3.9
Floods in Maputo province in Mozambique,Floods,MOZ009,Mozambique,MOZ,2.3,0.02929754062921234,0,1.15,1.7,0.09818438216111405,0.4,1.05,1.1,0,0.009575104727707959,0,0,1.8,0.53125,5,3.4,1.4,0.0003125,5,3.2,3.3,2
Tropical Cyclone Freddy in Mozambique,Cyclone,MOZ010,Mozambique,MOZ,4.6,0.7615351356850377,3.8,4.199999999999999,4.2,0.5295552030084024,2.6,3.4000000000000004,3.8,2.6,0.06657420249653259,0.3,1.45,2.3,0.03333333333333333,1.1,1.7,3.2,0.0001525,5,4.1,3.1,2.4
Refugees from Mali in Mauritania,Displacement,MRT002,Mauritania,MRT,3.9,0.19986416998156592,0.9,2.4,2.4,1.0421958213846785,5,3.7,3.1,3.7,1,5,4.35,2.9,0.020833333333333332,0.7,1.8,0,0,0,0,1,3.1
Food Security in Mauritania,"Drought,Floods",MRT003,Mauritania,MRT,5,1,5,5,1.8,0.7257271609995903,3.6,2.7,4.1,2.7,0.36550945526390066,1.8,2.25,x,x,x,x,0,0,0,0,0,1.3
Complex crisis in Malawi,"Drought,Socio-political,Cyclone",MWI002,Malawi,MWI,3.3,0.9978786593126856,5,4.15,4.3,0.9253759398496241,4.6,4.449999999999999,4.3,4.1,0.45424537883404426,2.2,3.15,3,0.014533258803801007,0.5,1.8,4,7.590832867523756e-05,3.8,3.9,3,3.1
Tropical Cyclone Freddy in Malawi,Cyclone,MWI005,Malawi,MWI,2.5,0.3370810352142554,1.6,2.05,3,0.3642387218045113,1.8,2.4,2.2,3.1,0.2924783898851761,1.4,2.25,2.5,0.02337891486546096,0.8,1.7,4,0.00029951477723864136,5,4.5,3.4,2.9
International Refugees in Malaysia,Displacement,MYS001,Malaysia,MYS,1.6,0.028020088266626084,0,0.8,3.3,0.3086193185293938,1.5,2.4,1.7,4.2,1,5,4.6,3.2,0.018136769078295343,0.6,1.9,0,0,0,0,1,3.3
Food Security Crisis in Namibia,Drought,NAM002,Namibia,NAM,4.9,1,5,4.95,1.4,1,5,3.2,4.3,2.8,0.5859197577592733,2.9,2.8499999999999996,0,0,0,0,0,0,0,0,0,1.6
Multiple crises in Niger,"Conflict,Displacement",NER001,Niger,NER,4.4,0.3231420225783532,1.5,2.95,3.7,1,5,4.35,3.7,3.3,0.2504784688995215,1.2,2.25,4.1,0.24450811843361986,5,4.6,3.8,0.0001343521171601401,5,4.4,4.5,3.6
Lake Chad basin crisis in Niger,Conflict,NER002,Niger,NER,3.7,0.12386989816057473,0.5,2.1,0,0.06283891547049442,0.3,0.15,1.2,1.7,0.399746192893401,2,1.85,3.5,0.8984126984126984,5,4.3,2.4,0.0001492063492063492,5,3.7,4,3.1
Mali/Burkina Faso conflict,Conflict,NER003,Niger,NER,3.9,0.16627615062761505,0.7,2.3,2.9,0.60207336523126,3,2.95,2.6,2.9,0.23165562913907284,1.1,2,3.6,0.18982275586049172,5,4.3,3.6,0.00019668381932532876,5,4.3,4.3,3.4
