,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Empowerment,BTI - Democracy Status,Trust in society,Ethnic Fractionalisation,size of excluded ethnic groups,Ethnic fractionalisation,Gender Inequality,Income Gini coefficient,Inequality,Social cohesion,Conflict Intensity,Total killed in all crisis,Safety and security,Corruption Perception,Rule of Law (WGI),Rule of Law (BTI),Freedom in the World,Rule of Law,Society and safety,# of different types of affected population groups,Diversity of groups affected,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Access of Humanitarian Actors to Affected Populations,Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Access of People in need to Aid,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Physical and Security Constraints,Humanitarian access,Operating environment
Complex crisis in Libya,"Conflict,Displacement,Socio-political",LBY001,Libya,LBY,4.6,4,4.3,1.4,0,0.7,1.1,x,1.1,2.033333333333333,3,4.2,3.6,4.1,4.3,3.6,4.6,4.2,3.3,5,5,2,3,2,0,3,2,3,5,0,1,3,3,4,4.5
Mixed migration flows in Libya,Displacement,LBY002,Libya,LBY,4.6,4,4.3,1.4,0,0.7,1.1,x,1.1,2.033333333333333,3,4.2,3.6,4.1,4.3,3.6,4.6,4.2,3.3,4,4,2,3,2,0,3,2,3,5,0,1,2,3,4,4
Storm Daniel and floods in Libya,"Floods,Other seasonal event",LBY003,Libya,LBY,4.6,4,4.3,1.4,0,0.7,1.1,x,1.1,2.033333333333333,3,4.2,3.6,4.1,4.3,3.6,4.6,4.2,3.3,5,5,2,2,2,0,3,0,2,2,0,1,3,3,3,4
Refugees from Sudan in Libya,Conflict,LBY004,Libya,LBY,4.6,4,4.3,1.4,0,0.7,1.1,x,1.1,2.033333333333333,3,4.2,3.6,4.1,4.3,3.6,4.6,4.2,3.3,2,2,2,2,1,0,2,2,3,5,0,1,2,3,3,2.5
2024 Floods and Monsoon Rain,Floods,LKA004,Sri Lanka,LKA,3.2,1.9,2.55,2.1,1.1,1.6,2.5,1.8,2.15,2.1,3,2.2,2.6,3.3,2.5,1.8,2.3,2.5,2.4,3,3,0,0,0,0,0,0,0,0,0,2,1,3,1,2
Food security crisis in Lesotho,Drought,LSO004,Lesotho,LSO,1.1,2.1,1.6,0,0,0,3.6,2.5,3.05,1.55,0,0,0,3.1,2.9,2.5,1.7,2.6,1.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
Displacement from Russia-Ukraine conflict in Lithuania,"Conflict,Displacement",LTU002,Lithuania,LTU,1.8,0.3,1.05,1.4,1.3,1.35,0.8,1.3,1.05,1.1500000000000001,0,0,0,2,1.5,0.1,0.6,1.1,0.8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Displacement from Russia-Ukraine conflict in Latvia,"Conflict,Displacement",LVA002,Latvia,LVA,1.4,0.5,0.95,2.9,3.5,3.2,1.1,1.3,1.2000000000000002,1.7833333333333334,0,0,0,2,1.5,0.9,0.6,1.3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Multiple crises in Morocco,"Displacement,Earthquake",MAR001,Morocco,MAR,3.2,3.2,3.2,2.5,4,3.25,3.3,1.8,2.55,3,3,3.2,3.1,3.1,2.6,3.4,3.2,3.1,3.1,2,2,0,0,1,0,1,0,1,1,0,0,3,3,2,2
Mixed migration flows in Morocco,Displacement,MAR002,Morocco,MAR,3.2,3.2,3.2,2.5,4,3.25,3.3,1.8,2.55,3,3,3.2,3.1,3.1,2.6,3.4,3.2,3.1,3.1,4,4,0,0,0,0,0,0,1,1,0,0,2,2,1,2.5
Al Haouz Earthquake in Morocco,Earthquake,MAR003,Morocco,MAR,3.2,3.2,3.2,2.5,4,3.25,3.3,1.8,2.55,3,3,3.2,3.1,3.1,2.6,3.4,3.2,3.1,3.1,2,2,0,0,1,0,1,0,0,0,0,0,3,3,1,1.5
